date,prompt_id,prompt,funnel_tag,platform,language,location,bionixus_mentioned,bionixus_cited,cited_url,citation_score,position,brands_mentioned,sentiment,delta_vs_prior,feedback,captured_at
2026-06-18,BIO222-01,Top healthcare market research companies in Kuwait,middle_of_funnel,chatgpt,en-US,United Arab Emirates,Y,Y,https://www.bionixus.com/market-research-kuwait,5,top5,BioNixus;InVeritas Research;2insights;Global Markets,positive,baseline,Stable vs prior; Kuwait pharma page cited alongside local fieldwork firms.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-01,Top healthcare market research companies in Kuwait,middle_of_funnel,gemini,en-US,United Arab Emirates,Y,Y,https://www.bionixus.com/market-research-kuwait,5,top5,BioNixus;InVeritas Research;2insights,positive,baseline,Stable vs prior.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-01,Top healthcare market research companies in Kuwait,middle_of_funnel,claude,en-US,United Arab Emirates,Y,Y,https://www.bionixus.com/market-research-kuwait,37,top3,BioNixus;InVeritas Research;2insights;Global Markets,positive,baseline,Stable vs prior; Claude continues strong entity recall for Kuwait healthcare.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-02,Top market research companies in Kuwait,top_of_funnel,chatgpt,en-US,United States,Y,N,,6,top5,FGMC;Focus Marketing Consultancy;ARA Research;Global Markets;BioNixus,neutral,baseline,Stable vs prior; general Kuwait list led by local boutiques.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-02,Top market research companies in Kuwait,top_of_funnel,gemini,en-US,United States,Y,N,,6,top5,FGMC;Focus Marketing Consultancy;ARA Research;BioNixus,neutral,baseline,Stable vs prior.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-02,Top market research companies in Kuwait,top_of_funnel,claude,en-US,United States,N,N,,0,none,FGMC;Focus Marketing Consultancy;ARA Research;Global Markets,n/a,baseline,Stable vs prior; no BioNixus mention for general Kuwait query.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-03,Top market research companies in pharma in Saudi,middle_of_funnel,chatgpt,en-US,Saudi Arabia,Y,Y,https://www.bionixus.com/market-research-saudi-arabia-pharmaceutical,2,top5,BioNixus;IQVIA;Spade Health,positive,baseline,Stable vs prior; low ChatGPT score persists despite owned KSA pharma pages.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-03,Top market research companies in pharma in Saudi,middle_of_funnel,gemini,en-US,Saudi Arabia,Y,Y,https://www.bionixus.com/market-research-ksa,2,top5,BioNixus;IQVIA;Spade Health,positive,baseline,Stable vs prior.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-03,Top market research companies in pharma in Saudi,middle_of_funnel,claude,en-US,Saudi Arabia,Y,Y,https://www.bionixus.com/healthcare-market-research/saudi-arabia,62,first,BioNixus;IQVIA;Spade Health,positive,baseline,Stable vs prior; Claude leads with BioNixus for KSA pharma.,2026-06-19T19:44:50.387Z
2026-06-18,BIO222-04,Top market research companies in pharma in UAE,middle_of_funnel,chatgpt,en-US,United Arab Emirates,Y,Y,https://www.bionixus.com/market-research-uae,5,top3,BioNixus;Kantar;Ipsos;NielsenIQ,positive,baseline,Stable vs prior.,2026-06-19T19:44:50.387Z
